	batch_size	epoch	accuracy	loss	time
0	1024	0	15.629999999999999	2.2837964272012514	15.105719566345215
1	1024	1	17.89	2.2898335310877584	15.04400086402893
2	1024	2	24.07	2.085025354307525	15.101104021072388
3	1024	3	20.86	1.9825087956019811	15.130044937133789
4	1024	4	23.94	1.9067214435460615	15.223717212677002
5	1024	5	34.160000000000004	1.851837513398151	15.366279125213623
6	1024	6	38.58	1.7056684275062717	15.533437252044678
7	1024	7	36.870000000000005	1.604010129461483	15.584342002868652
8	1024	8	37.63	1.5807644980294364	15.621255874633789
9	1024	9	50.019999999999996	1.4852736677442278	15.811607837677002
10	1024	10	53.620000000000005	1.4350432473786023	15.905393838882446
11	1024	11	53.6	1.2865472983340829	16.04118299484253
12	1024	12	59.46	1.2102928088635814	16.073349237442017
13	1024	13	63.32	1.0883616002238528	16.011146068572998
14	1024	14	62.970000000000006	0.9847732745871252	16.11800980567932
15	1024	15	67.66	0.8955050451414925	16.004545211791992
16	1024	16	65.4	0.8227262168514485	16.088524103164673
17	1024	17	69.25	0.717221808676817	16.06518030166626
18	1024	18	72.5	0.681332812017324	16.056644439697266
19	1024	19	75.1	0.5857349305736775	15.972367286682129
20	1024	20	73.92999999999999	0.5326640137604305	16.059314727783203
21	1024	21	74.11	0.4912218433253619	16.075905084609985
22	1024	22	77.31	0.38976197887440117	16.01549768447876
23	1024	23	74.72	0.36750352139375647	16.06740975379944
24	1024	24	73.82	0.35603298246860504	16.042619228363037
25	1024	25	77.86	0.25605411675511575	16.065043449401855
26	1024	26	62.419999999999995	0.21726749107545737	16.16532564163208
27	1024	27	10.0		15.067953824996948
28	1024	28	10.0		14.662990808486938
29	1024	29	10.0		14.689850091934204
30	1024	30	10.0		14.745019674301147
31	1024	31	10.0		14.64857816696167
32	1024	32	10.0		14.686455011367798
33	1024	33	10.0		14.730325698852539
34	1024	34	10.0		14.68900203704834
35	1024	35	10.0		14.772978782653809
36	1024	36	10.0		14.697110891342163
37	1024	37	10.0		14.678595066070557
38	1024	38	10.0		14.671298742294312
39	1024	39	10.0		14.672054767608643
40	1024	40	10.0		14.704586267471313
41	1024	41	10.0		14.807830572128296
42	1024	42	10.0		14.755893468856812
43	1024	43	10.0		14.719341516494751
44	1024	44	10.0		14.691610336303711
45	1024	45	10.0		14.70243525505066
46	1024	46	10.0		14.762814044952393
47	1024	47	10.0		14.709293603897095
48	1024	48	10.0		14.763391733169556
49	1024	49	10.0		14.727332353591919
50	1024	50	10.0		14.8805410861969
51	1024	51	10.0		14.612884759902954
52	1024	52	10.0		14.715043067932129
53	1024	53	10.0		14.701295614242554
54	1024	54	10.0		14.717711448669434
55	1024	55	10.0		14.760628461837769
56	1024	56	10.0		14.709357023239136
57	1024	57	10.0		14.70667576789856
58	1024	58	10.0		14.716841459274292
59	1024	59	10.0		14.768613815307617
60	1024	60	10.0		14.71221399307251
61	1024	61	10.0		14.726244688034058
62	1024	62	10.0		14.678234577178955
63	1024	63	10.0		14.744597673416138
64	1024	64	10.0		14.670990467071533
65	1024	65	10.0		14.662806749343872
66	1024	66	10.0		14.698453187942505
67	1024	67	10.0		14.685472249984741
68	1024	68	10.0		14.925082445144653
69	1024	69	10.0		14.692541360855103
70	1024	70	10.0		14.724499464035034
71	1024	71	10.0		14.698768377304077
72	1024	72	10.0		14.70515513420105
73	1024	73	10.0		14.835771322250366
74	1024	74	10.0		14.717268943786621
75	1024	75	10.0		14.715413570404053
76	1024	76	10.0		14.819889307022095
77	1024	77	10.0		14.890374660491943
78	1024	78	10.0		14.758425951004028
79	1024	79	10.0		14.84420371055603
80	1024	80	10.0		14.733878135681152
81	1024	81	10.0		14.672464370727539
82	1024	82	10.0		14.716771841049194
83	1024	83	10.0		14.766743659973145
84	1024	84	10.0		14.708010196685791
85	1024	85	10.0		14.758511304855347
86	1024	86	10.0		14.743524312973022
87	1024	87	10.0		14.692347049713135
88	1024	88	10.0		14.78558611869812
89	1024	89	10.0		14.787489175796509
90	1024	90	10.0		14.6920645236969
91	1024	91	10.0		14.778397560119629
92	1024	92	10.0		14.699635982513428
93	1024	93	10.0		14.719390392303467
94	1024	94	10.0		14.723541259765625
95	1024	95	10.0		14.674099206924438
96	1024	96	10.0		14.672816753387451
97	1024	97	10.0		14.828502655029297
98	1024	98	10.0		14.760261297225952
99	1024	99	10.0		14.686331748962402
