	batch_size	epoch	accuracy	loss	time
0	128	0	56.43	1.5227248685439225	16.57867956161499
1	128	1	70.25	0.9604149489756435	16.596739530563354
2	128	2	72.78	0.714169529774	16.718201637268066
3	128	3	78.33	0.5781152845191224	16.89854621887207
4	128	4	80.78999999999999	0.47151425183581575	17.136484622955322
5	128	5	80.28	0.3759679294684354	17.035504579544067
6	128	6	80.11	0.2989247664237571	16.895053148269653
7	128	7	82.03	0.23110710301667528	16.801846981048584
8	128	8	82.69999999999999	0.17600498973484843	16.900691747665405
9	128	9	82.0	0.12916247425672342	16.996444702148438
10	128	10	83.58	0.0991795506242596	16.913168907165527
11	128	11	80.84	0.07446520130657365	17.03187346458435
12	128	12	84.46000000000001	0.06236619775033439	16.95764136314392
13	128	13	82.58	0.04726991063588873	16.918845415115356
14	128	14	83.59	0.0453946223944578	17.008336782455444
15	128	15	84.0	0.037127484706209024	16.974393367767334
16	128	16	84.27	0.033299727318332056	16.92992115020752
17	128	17	83.71	0.024917243881617934	16.864516258239746
18	128	18	82.5	0.027358091155857876	16.94525408744812
19	128	19	84.02	0.02720754525845732	16.94173789024353
20	128	20	84.52	0.020810320680720442	16.88560175895691
21	128	21	83.78999999999999	0.016954570753223566	16.914371728897095
22	128	22	84.52	0.019905999281426983	17.059031009674072
23	128	23	84.44	0.01457780238267456	16.913917064666748
24	128	24	84.67	0.011236287456865082	17.067508935928345
25	128	25	84.64	0.01607833119154529	16.965496063232422
26	128	26	84.77	0.007671729466059696	17.094735383987427
27	128	27	83.96000000000001	0.010918289629172039	16.888517379760742
28	128	28	83.99	0.009566655974788115	16.95676350593567
29	128	29	85.11	0.008448600359784309	16.929392337799072
30	128	30	84.76	0.009421747251640937	16.903626918792725
31	128	31	84.95	0.015179504455579921	16.945133209228516
32	128	32	85.37	0.010496212930284271	16.961599349975586
33	128	33	84.92	0.008912889990987449	17.026111364364624
34	128	34	84.44	0.007566110165535902	16.993911027908325
35	128	35	84.94	0.006397610062660645	16.897255897521973
36	128	36	85.03	0.005323072370124476	16.9365816116333
37	128	37	85.05	0.0035296089658250914	16.928422689437866
38	128	38	85.31	0.0032024185816493735	16.999659299850464
39	128	39	85.21	0.0037516776423277857	16.945677757263184
40	128	40	85.15	0.002835140285665578	17.060254096984863
41	128	41	84.86	0.004915691947763148	16.981751918792725
42	128	42	84.56	0.007312646081620577	16.961650848388672
43	128	43	84.8	0.005271261703679124	16.956538200378418
44	128	44	84.83000000000001	0.0063693137154863825	16.909591674804688
45	128	45	84.66	0.00806181263373605	16.977591276168823
46	128	46	84.11999999999999	0.006276978675154415	17.048828840255737
47	128	47	84.92	0.007977214428056401	17.01923179626465
48	128	48	84.77	0.004944713266822896	16.9300799369812
49	128	49	84.78	0.005249707494535834	16.972193002700806
50	128	50	85.09	0.005114073430809825	16.883972883224487
51	128	51	84.74000000000001	0.008171308372929186	17.014609336853027
52	128	52	84.98	0.004786382907049303	16.942861318588257
53	128	53	85.0	0.005549663089864004	16.950483798980713
54	128	54	84.86	0.00442784936388928	16.877105951309204
55	128	55	85.47	0.002184822103878393	16.94415783882141
56	128	56	85.14	0.0012862102704342914	17.001660585403442
57	128	57	85.39	0.0024147431647279496	16.97411012649536
58	128	58	85.06	0.0030945534878538427	16.95543146133423
59	128	59	85.48	0.003461981276951424	16.94588875770569
60	128	60	84.52	0.003908311136301494	16.975507736206055
61	128	61	85.03	0.004539980146972112	17.20680832862854
62	128	62	85.42	0.0023848589077699305	16.95497703552246
63	128	63	85.14	0.005256628299767771	16.928290367126465
64	128	64	84.98	0.0034659315740200305	17.012117862701416
65	128	65	84.09	0.0050175583463806335	16.97332239151001
66	128	66	85.27	0.007270836858976888	16.9444842338562
67	128	67	84.94	0.004255556173062415	16.944996118545532
68	128	68	85.22999999999999	0.0016543747343160102	16.941684007644653
69	128	69	85.50999999999999	0.0030277161822433274	16.97425103187561
70	128	70	85.0	0.00334050043861366	17.028401136398315
71	128	71	84.99	0.002930168878900267	17.04444193840027
72	128	72	85.3	0.0016219560096142418	17.109476804733276
73	128	73	85.11	0.002267707670365957	16.9596688747406
74	128	74	84.95	0.0013548148523704745	16.990158796310425
75	128	75	85.79	0.0025003779683686533	16.991766929626465
76	128	76	85.25	0.0012534444099802546	16.971887350082397
77	128	77	85.11	0.0014382118618314077	16.970411777496338
78	128	78	85.2	0.001722105482809764	16.99426245689392
79	128	79	84.91	0.0030305538730486135	16.950627326965332
80	128	80	84.92	0.0025277725834040093	16.92413330078125
81	128	81	84.97	0.0029126931456844697	16.97273087501526
82	128	82	85.27	0.00259606073730182	16.91628885269165
83	128	83	85.22	0.0022314209788100578	16.94712257385254
84	128	84	85.1	0.000871910408576419	16.8601291179657
85	128	85	85.39999999999999	0.0004549494765447061	16.89811134338379
86	128	86	84.57000000000001	0.002028862910041858	16.970093488693237
87	128	87	84.75	0.003934724876883353	16.98293709754944
88	128	88	85.65	0.0018748884577478079	16.97265934944153
89	128	89	85.11999999999999	0.001026164972585939	16.97813606262207
90	128	90	85.48	0.001775772522413743	17.05769920349121
91	128	91	84.72	0.0033863617999791164	16.966189861297607
92	128	92	85.28999999999999	0.001580909835334388	17.072014570236206
93	128	93	85.11	0.0012394536617294993	16.970309257507324
94	128	94	84.94	0.0014325253284829518	17.064451932907104
95	128	95	85.14	0.0018279670464456212	16.985044717788696
96	128	96	85.42	0.003678823798402257	17.009607315063477
97	128	97	85.35000000000001	0.0015660772963822513	16.97728419303894
98	128	98	85.52	0.0012218856175026248	16.9629225730896
