	batch_size	epoch	accuracy	loss	time
0	16	0	36.620000000000005	2.022452053375244	28.56353497505188
1	16	1	47.660000000000004	1.5551620862579345	28.543606281280518
2	16	2	54.84	1.3279590732192994	28.377737998962402
3	16	3	60.660000000000004	1.1525006763648986	28.36288833618164
4	16	4	65.03999999999999	1.0129337638521194	28.439507246017456
5	16	5	67.58999999999999	0.8981811860752106	28.11284351348877
6	16	6	71.22	0.8130878107023239	28.243130922317505
7	16	7	72.1	0.7446947167778015	28.6763813495636
8	16	8	73.45	0.6866775919294358	28.12532877922058
9	16	9	74.24	0.6319501819753647	28.18557834625244
10	16	10	74.81	0.586137991836071	28.16622018814087
11	16	11	75.29	0.5405726284551621	27.971801280975342
12	16	12	76.44999999999999	0.4996077328300476	28.1206271648407
13	16	13	77.63	0.46292077592611314	28.08959460258484
14	16	14	76.78	0.42401958349585533	28.06312108039856
15	16	15	77.23	0.3900174052870274	28.552796602249146
16	16	16	77.79	0.35871624949097636	28.022491931915283
17	16	17	77.85	0.32433180915117266	27.998100996017456
18	16	18	77.48	0.2961624561998248	28.82672619819641
19	16	19	77.92	0.26763196821421387	28.025553464889526
20	16	20	77.72	0.24558826184749602	27.962680101394653
21	16	21	77.53	0.21628537984251975	27.97718358039856
22	16	22	78.41	0.20102071105986832	27.938597917556763
23	16	23	78.23	0.18093055123016238	28.03503656387329
24	16	24	77.38000000000001	0.1590069239193946	27.99283480644226
25	16	25	77.79	0.14843210360318423	28.029266119003296
26	16	26	78.43	0.13381914287589491	28.180346250534058
27	16	27	78.10000000000001	0.12191141165144742	28.068347930908203
28	16	28	78.19	0.10845470365878195	27.93350386619568
29	16	29	78.32000000000001	0.09758557403791696	28.87693691253662
30	16	30	78.81	0.08595035532094539	27.976405143737793
31	16	31	79.25	0.08285896304745227	27.98589849472046
32	16	32	78.5	0.07284428339842706	27.988234281539917
33	16	33	78.19	0.07203273043133318	28.030935049057007
34	16	34	78.08	0.06304809409127571	28.29287600517273
35	16	35	78.59	0.05925962990144268	28.19890785217285
36	16	36	78.66	0.05650941268144175	27.916280031204224
37	16	37	79.03	0.05100542034404818	28.356532096862793
38	16	38	78.66	0.04829936536587775	28.054178714752197
39	16	39	79.01	0.04107177499843296	27.792733669281006
40	16	40	78.7	0.039359028945593164	28.829692125320435
41	16	41	78.14999999999999	0.0373810174774332	28.205437183380127
42	16	42	78.31	0.033999156243526375	28.104384422302246
43	16	43	78.83	0.03831138587132096	27.93516254425049
44	16	44	78.63	0.036049500403255226	28.110864400863647
45	16	45	78.75999999999999	0.0314362295159325	27.883301496505737
46	16	46	78.84	0.02744194537548814	27.87262201309204
47	16	47	78.63	0.025571804126389326	28.123076915740967
48	16	48	78.29	0.02678088545600418	28.549569606781006
49	16	49	79.22	0.025684790345677173	28.130707263946533
50	32	0	27.04	2.249588415856096	17.90015196800232
51	32	1	38.019999999999996	1.864009824305563	17.988691091537476
52	32	2	43.96	1.5989950675653175	18.462987422943115
53	32	3	48.08	1.4442782661355007	18.203121662139893
54	32	4	53.769999999999996	1.323277717169019	17.871577501296997
55	32	5	57.3	1.214205364157432	18.006486892700195
56	32	6	60.029999999999994	1.1142355204772583	17.70787787437439
57	32	7	62.09	1.0317668067440342	17.824120044708252
58	32	8	66.05	0.9575647879165483	17.891528129577637
59	32	9	67.10000000000001	0.8960999931308298	17.828394412994385
60	32	10	69.06	0.8392840453202497	17.89612054824829
61	32	11	68.87	0.7894306758696348	17.93460464477539
62	32	12	71.09	0.7403568681126897	18.103283643722534
63	32	13	72.03	0.7013602354209238	17.83902645111084
64	32	14	72.25	0.6676556230430335	18.048750638961792
65	32	15	72.89999999999999	0.6295953629704065	17.918607473373413
66	32	16	73.14	0.597919130270022	18.44438362121582
67	32	17	74.2	0.5682512685913957	18.11984896659851
68	32	18	73.56	0.5378197320973499	18.08891534805298
69	32	19	75.01	0.5079784766554604	18.666731119155884
70	32	20	73.92	0.48316578094156903	17.9658842086792
71	32	21	74.22	0.4555718682215371	18.29798197746277
72	32	22	74.97	0.4268833429708133	18.01388454437256
73	32	23	75.39	0.4011288481220479	18.042211055755615
74	32	24	75.28	0.37630224969149856	17.945826292037964
75	32	25	75.14	0.3494391427950377	18.15814733505249
76	32	26	76.01	0.32891459620998065	17.931069374084473
77	32	27	75.61	0.30691662031063194	17.86268925666809
78	32	28	75.68	0.28705149704992045	17.994664907455444
79	32	29	75.13	0.2627958658813324	18.1164391040802
80	32	30	75.03	0.2460809554868948	17.950369119644165
81	32	31	75.71	0.22620801471045057	18.025062084197998
82	32	32	75.4	0.20793506677333393	17.951544523239136
83	32	33	75.78	0.19498923292558734	17.88244938850403
84	32	34	76.2	0.18224137716748473	18.16356134414673
85	32	35	75.91	0.16943426104530607	18.008365869522095
86	32	36	75.19	0.15829726241371683	18.672142505645752
87	32	37	75.32	0.1439227159042686	17.845725297927856
88	32	38	73.96000000000001	0.13449444473731217	17.916114330291748
89	32	39	75.03	0.12605283695576391	17.80125617980957
90	32	40	76.11	0.11943341991956502	17.951311349868774
91	32	41	75.05	0.10824646492550055	17.942185401916504
92	32	42	75.48	0.1005194803344721	18.23432755470276
93	32	43	75.91	0.09533018038994844	18.171862602233887
94	32	44	75.09	0.09046023489725052	17.969631910324097
95	32	45	76.14	0.08262310452075224	18.052862882614136
96	32	46	76.13	0.07788919365588845	17.89152979850769
97	32	47	73.0	0.07536395893328521	17.997292518615723
98	32	48	75.69	0.07540469662770771	17.963295459747314
99	32	49	76.13	0.0679647869626221	17.935630321502686
